KB Number,Title,Audience,KB Category (ServiceNow),Covers master ticket,Mapping confidence,Search text,Notes
KB0029346,Unable to unlink contact from Company,L1,Customer Portal (MyRegus),,Unmapped,Unable to unlink contact from Company For issues where customer/staff are unable to unlink Contact from the Company with the error like on the screenshot below: You cannot unlink the last contact of the company. Company cannot be left without any contacts. If needed a request to GSC Titan Admins can be raised to deactivate the company.,
KB0020871,Correct OSA details,L1,Titan,,Unmapped,"Correct OSA details Application / Service OSA Details OSA ref PRT10332025 is signed on August 2d and is loaded to Titan, see booking ref 122784136 As you can see number of occupants on OSA and loaded to Titan are aligned - thus there is no OSA issue here Please note that once OSA is signed, there is no way we can correct it. All the amendments shall be performed in Titan UI. If the requester us disputing the fact that Sales Hub did not give option for amount of WS - this should be addressed to SH Team, not OSA. Please pass to AHD to make all the corrections.",
KB0032427,Client not visible in Company section on Team Hub,End User,Process Enquiry,,Unmapped,"Client not visible in Company section on Team Hub Overview If a client is not appearing when you search in the Company section of TeamHub, follow the steps below to locate them using the available search and filter options. --- How to Search for a Client in the Company Section 1. Open TeamHub and navigate to the Company section. 2. Select Select Company. 3. Select the Filter option to open the search filters. 4. Choose the type of search you need from the available options. 5. Type the client's name or number into the search bar. The filter results will update below as you type. Note: You can search for a contact by Name and/or Email Address using either the Centre or Global search options. --- Client Still Not Visible After Searching If the client does not appear after applying the filters above, collect the following details from the user before raising an IT case: - Client name - Email address - [Any additional details required - please confirm what information is needed]",
KB0032441,How to Move within this center on TeamHub,End User,Process Enquiry,,Unmapped,"How to Move within this center on TeamHub Application / Service TeamHub Details Please follow the below steps to Move within this center Preconditions: active booking with uploaded pricing Purpose: to move booking to another office in the same center You must select who is requesting move: Customer initiated or Center initiated. Start date is editable - Minimum start date value is original start date value plus one day . Maximum Start date of move is one day before End date of booking. End date of move is not editable and is equal to End date of booking. By click on Please select an office, user will have displayed inventory calendar for the center where he can select available office for selected terms. All Amend agreement flows mentioned by know will result in completing the action with confirmation pop up. In Form section there is always displayed original data of the booking. In To section there are always details of amends. After click on Confirm button, there will be displayed Success message if there are no any errors with the booking. By closing the notice pop up taping the Ok on the message, user will be taken to Preview agreement screen. On Preview agreement screen, user",
KB0029081,How to Monitor INT-AR-096,L2,Dynamics F&O,,Unmapped,How to Monitor INT-AR-096,
KB0029055,How to Resolve INT-AR-002/Error code: Blank-,L2,Dynamics F&O,,Unmapped,How to Resolve INT-AR-002/Error code: Blank-,
KB0020992,Troubleshoot roles and permissions issues in TeamHub to resolve missing buttons,L1,Service Desk SOP,,Unmapped,"Troubleshoot roles and permissions issues in TeamHub to resolve missing buttons Issue: Can't access some sections on Team Hub Check if the user is using the latest version of Team Hub Check if the user's job title is allowed to have full access Check if user can access those sections on mobile version. If user can't access both in Mobile version and Desktop version, please get the following information from user to raise the Second level investigation Task ( Service Request Master Support Ticket ) &bull; Name &bull; Email &bull; Title/Role &bull; Manager for that user &bull; TH app version &bull; Group Access Required &bull; Access requirement specifications NOTE: Roles and permissions can now affect specific buttons and ability to search for specific Centres. Procedure is the same in these cases as well.",
KB0019137,Unable to Terminate Services in TeamHub,Known Errors,Teamhub,,Unmapped,"Unable to Terminate Services in TeamHub When the user tries to terminate any services and the delete option is greyed out like below screenshot, then this is a Titan configuration issue. In Titan under service pricing, if the below highlighted option is checked then the delete option will be greyed out in TeamHub. We will need to ask the user to contact GSC Titan Admin team via GSC.TitanSupport&#64;regus.com to uncheck the option in Titan to fix this issue.",
KB0038117,How to add a new member to an existing company,Customer Support,Accounts & Companies,,Unmapped,"How to add a new member to an existing company How to add a new member to an existing company The new team member must be added internally by the Account Owner by sending an invite. Note : This step is always essential when adding someone to the team. 1) On the main account page. The owner of the account must invite the new member who will be joining. How to do this? - Please visit the team page on MyRegus - Please ask them to click on ADD USER 2) Once they click on ADD USER, they will see this page - - Set the permissions accordingly, whether its admin or not. 3) Once done, press the INVITE button. 4) The screen will go back to the starting page where it will say, your invitation has been sent. 5) Please ask the user to check their registered email address. - They should receive an email from Regus with the subject Welcome to your Customer Portal. 6) Ask the user to click on the link. 7) It will take them to a new page where they will register their account in the system. 8) Kindly ask the new team member to complete the registration process by completing all the steps.",
KB0037190,How do customers raise billing queries,Customer Support,Invoicing,,Unmapped,"How do customers raise billing queries Summary : This article guides users for account queries on Invoice charges (Monthly Office/VO/Membership fees, Kitchen Amenities, Late payment fees, Parking, Office restoration, Telephone charge, Retainer, Other charges). Purpose : This article provides the guide for assisting customers with billing related queries.. Instructions : Centre team to follow the guide how to handle customer billing queries via IWG Academy Link .",
KB0020745,Centre Team haven't received a renewal for client,L1,Titan,,Unmapped,"Centre Team haven't received a renewal for client Application / Service Titan Details Please inform the customer that first and second renewal email will be sent 21- and 7- days before NDD date indicated in the booking. I see the booking 114814487 has NDD - Jan 31, 2022. So the first will be sent on Jan, the 10th.",
KB0032446,How to change Salesperson while sending agreement on Team Hub,End User,Process Enquiry,,Unmapped,"How to change Salesperson while sending agreement on Team Hub Overview By default, TeamHub automatically assigns the salesperson based on the configuration in Titan. If you are processing a renewal and wish to change the salesperson, follow the steps below. Steps to Change the Salesperson Locate the Current Salesperson Click on the Salesperson's Name Click directly on the salesperson's name to edit or change it. Search for the New Salesperson In the search box, type the email address of the salesperson you want to assign. Select the correct contact from the list. Confirm the Change Once selected, the Salesperson field will update to reflect the new contact.",
KB0028319,How to Reset Teamhub?,End User,Process Enquiry,,Unmapped,How to Reset Teamhub? Instructions Follow the steps below on how to reset your Teamhub when the app takes a long time to setup then jump backs to the startup page. 1. Close Teamhub app then search for it in the program list. 2. Right click and select the App settings. 3. Scroll down and click on Reset button. 4. Wait for the reset process to complete then relaunch Teamhub.,
KB0020711,Centre mailbox and community manager not receiving renewal emails,L1,Titan,,Unmapped,Centre mailbox and community manager not receiving renewal emails Application / Service Titan Details For Centre mailbox and community manager not receiving renewal emails please reach out to GSC Titan Admins via GSC.TitanSupport&#64;regus.com,
KB0037400,What are the Roles and Permissions on Team Hub,End User,Access Request,,Unmapped,What are the Roles and Permissions on Team Hub Following the optimization of roles and permissions when accessing Teamhub. Teamhub should now give you access depending on your Job Code and Job Title If you think that you should have full access on Teamhub and your role states that you have Basic access only. Please email your line manager first and ask for assistance. Your line manager should help escalate this to the department who will tell IT if the role can be full access or not. Please refer to the attachments for more details NOTE: IT will not be changing the roles in Teamhub. If you require to have Full Access. You need to submit a request from HR and update your Job Title. https://support.iwgplc.com/sp?id=sc_cat_item&sys_id=ab045bfc87940214a310baaabbbb3533,
KB0035977,Video: Refresh User settings button feature on Team Hub,End User,Process Enquiry,,Unmapped,Video: Refresh User settings button feature on Team Hub With this new feature TeamHub Users will be able to clear local cache without need to logout. TeamHub now includes a Refresh User Settings button that allows users to clear the local cache without logging out . This makes it easier to update settings quickly and continue working without interruption. Note : This functionality is accessible starting from TeamHub version 2.57 or later. Watch the video below for step-by-step instructions on how to use the Refresh User Settings button in TeamHub.,
KB0019648,OTR Issue,L1,Service Desk SOP,,Unmapped,"OTR Issue Application / Service OTR Details OTR Issue If an OTR incident is raised to network team and apps will work on the request, please assign the ticket to IT COGNIZANT APPS TITAN and include a comment stating that this is OTR related and a MST ticket needs to be opened. These are the troubleshooting steps that have been identified, network is involved in Steps 1 and 2. Issue with Device not registering 1 - Always Get Device MacAddress & CentreNumber (Level1 Networks or App Tower) 2 - Check Mac is registered in Clavister OTR page and hasn't expire yet (If the MAC is OTR registered and ANC registered, the issue most probably would be in the firewall/network) (Level1 Networks) 3 - If the MAC address is not showing as registered on the clavister OTR portal or is showing as ""Device is in queue for ANC registration by Titan on attempt [x]"" engage the Titan Aps team. Check Titan database dbo.ContactDevice table (if exists then problem with Titan API call to Clavister) (MST required + Titan component - Train Titan L2 Support team (DataArt) on this matter - need access to Titan DR database) 4 - If not existing in dbo.ContactDevice then and device added through CustomerPortal - then C",
KB0021922,IWG Card is not working in Coffee machine for a client,L1,Customer Portal (MyRegus),,Unmapped,"IWG Card is not working in Coffee machine for a client IWG Card is not working in Coffee machine for any client. Replication Steps to follow - 1. Open CSU Dashboard 2. Search with the IWG card/FOB/Tag 3. Check the card status. If the card is active, then Raise MST If the card is Suspended- 4. Then check in Titan>Client Search> Financial Data tab, whether the account is blocked or not 5. If The account is blocked then advise them to contact Reinstatement team via reinstatements&#64;iwgplc.com 6. If the account is Active and card is blocked, then open the card details on CSU application. 7. Then click on unblock until the card status shows as Active.",
KB0020830,No renewal Email sent,L1,Titan,,Unmapped,"No renewal Email sent Application / Service Titan Details No renewal Email sent Resolution: The renewal email was sent 21 day before auto renewal happened to address priorityprotection&#64;outlook.com before the email of the contact got changed to moustafa&#64;priorityprotection.net.au on the Dec 07, 2022 03:36.",
KB0029395,"After Login website spins forever or shows error ""Something went wrong""",L2,Customer Portal (MyRegus),,Unmapped,"After Login website spins forever or shows error ""Something went wrong"" Known Issue: Website Continues Loading Indefinitely Overview After entering the verification code, the website continues loading indefinitely and does not complete the login process, preventing users from accessing the application. Symptoms The website continues loading indefinitely Something went wrong. Please try again later. Affected Systems Application: Customer Portal (Login) Environment: Production Version: Latest Root Cause The root cause is currently unknown. Initial investigation suggests this may be related to a synchronization issue, as the user account attempting to log in does not exist in the Titan database. Further analysis is required to determine the exact cause. Workaround Veryfy and cross check the incorrect account by checking the Cosmos DB (Contacts V3) and Titan Database summary.FinancialAccount Remove the incorrect Contact entity from Cosmos DB (Contacts V3) and re-index the data. Verify the issue is resolved. Contacts For further assistance, contact Proton L2 Support Team.",
KB0035458,How to Allow employees to select the Centre they are working in when updating daily status on Team Hub,End User,Process Enquiry,,Unmapped,"How to Allow employees to select the Centre they are working in when updating daily status on Team Hub TeamHub users now have the option to select the Centre they are working in when updating their status. Note: This feature applies only to users with the Community Teams role How It Works When logging into TeamHub , you must: Select your Status . Select your Centre (location) . You will not be able to use TeamHub until both selections are made. Watch this video for a full walkthrough:",
KB0038098,"How the center inventory pictures can be changed on IWG  applications (Centres, MyRegus, websites, SalesHub, and all systems) ?",End User,Centre Information,,Unmapped,"How the center inventory pictures can be changed on IWG applications (Centres, MyRegus, websites, SalesHub, and all systems) ? Where Pictures Appear Images are displayed across multiple IWG applications, including Centres, MyRegus, websites, SalesHub, and other IWG systems . How Pictures Are Set All pictures shown for centres and inventories are set by default. Centres cannot submit or update images directly. The MyRegus team selects indicative pictures, which are used consistently across all centres. Key Point ➡️ The same standard image is applied to all centres.",
KB0029379,Direct Debit set up - Upload file grayed out,Customer Support,Payments,,Unmapped,"Direct Debit set up - Upload file grayed out Client to click Download appropriate Direct Debit mandate first. After the download is completed, the Choose File button will become available.",
KB0020892,IWG Card Useful FAQ's,L1,Service Desk SOP,,Unmapped,"IWG Card Useful FAQ's Application / Service IWG Card/ CSU/ Nayax Details I WG Cards Overview The new IWG Cards are corporate physical cards that allow all IWG customers and employees to access workspaces, consume coffee, use printer (HP & Canon) or ATM Kiosk (USA only) with a single card solution. Currently, IWG Cards can be used with Salto e-locks to access offices, meeting rooms and other workspaces, cloud printing (HP & Canon) and with Nayax machines for coffee. In the future, they will also be used for a wide variety of services. IWG Cards are manually activated by customers in their online account or mobile app, which automatically activates them in the Access Control Application (ACA) and Nayax portal. IWG Card example: Access to workspaces, coffee, printers and ATM Kiosks (USA only) in a single card solution: IWG Card Activation All customers receiving an IWG Card must activate it in their online account. Activation of IWG Cards by customers, or by Community Teams in staff mode is completed following these steps: 1. Access customer's online account 2. Navigate to ""Quick access"" menu: 3. Click on the ""Access Card"" section: 4. Enter the card number and press ""Activate Card"". A",
KB0037189,How do I escalate billing (Accounts Receivable) concerns for a Corporate Account,Customer Support,Accounts & Companies,,Unmapped,"How do I escalate billing (Accounts Receivable) concerns for a Corporate Account Summary : This article guides users for escalations of accounts receivable tickets or billing tickets for a corporate account. Purpose : This article provides the correct path on how to escalate accounts receivables and billing tickets for corporate account via TeamHub. Instructions : A. Escalate an Accounts Receivable ticket for a Corporate Account Go to Teamhub > Help > Raise Support Requests > Escalate a Ticket > AR, billing and collections Escalation Select Correct Reason for Escalation On the ''Is this an Escalation for"" drop down, select Corporate Account Receivable Provide CRM Case number Select Company name Add Description NOTE : SLA of the Corporate team is 3 business days. B. Escalate a Billing ticket for a Corporate Account Go to Teamhub > Help > Raise Support Requests > Escalate a Ticket > AR, billing and collections Escalation Select Correct Reason for Escalation On the ''Is this an Escalation for"" drop down, select Corporate Account Billing Provide CRM Case number Select Company name Add Description NOTE : SLA of the Corporate team is 3 business days.",
KB0029477,Customer needs to be in logged into the Company with Membership in order to apply for a Free Booking,L1,Customer Portal (MyRegus),,Unmapped,"Customer needs to be in logged into the Company with Membership in order to apply for a Free Booking Introduction: The customer is complaining that a Free Booking benefit cannot be applied on their Account and they are getting charged on the Booking page. Solution: - Please check if the customer is logged into the correct account. On the image above, the customer is logged into Company ID - 16782649 . - In the ' Quick Access ' section in the Portal, we can see that the User does not have the Membership , Virtual Office or other benefits which enable a Free Booking . - Clicking on the Company Panel, we can see that the User has another Company . - When we switch to the other Company and then go to the "" Quick Access "" section, we can see now that there is a Virtual Office benefit which would have applied a Free Booking . The same works for any other benefit which applies a Free Booking. - The Customer was logged into a the wrong Company and the Booking was not applied, however when changing to the Company with the benefit attached, the Free Booking benefit will be applied on the Portal. Please always check if the User is logged into the correct Company before raising an incident.",
KB0024979,How to prepare User Access Review for D365FO,L2,Dynamics F&O,,Unmapped,"How to prepare User Access Review for D365FO Application / Service Dynamics F&O Description This provides steps on preparing User Access Review for D365FO. Instructions 1. Extract data from DMF (Request to extract data who has access). Log a ticket to request for the following file from IT BAU Team (Refresh database to extract last login details from SQL and take screenshots). Extracted data thru DMF - a) User information, b) Security user role association, c) LastLoginDate Screenshot - a) User Information, b) Security User Role Association, c) DB Refresh/ SQL Data extraction for Last login date. b. Raise HR ticket for Master and Leaver's file information. Save a copy/upload in the SharePoint the screenshots for Audit purposes. 2. Gather data. Once all the required data is gathered upload the same in SharePoint for audit references. 3. Consolidate Source File. Prepare the consolidated source file based on different files using Excel formulas. 4. Perform user terminated check, line manager check & terminated not found checks manually. 5. Create/update different sheets in the access rectification tool and execute the same. 6. Macro Tool. Generate output files per line manager. Trigge",
KB0029469,Dynamics F&O | How to Resolve INT-AR-009/Error code: 38-996-999—,L2,Dynamics F&O,,Unmapped,Dynamics F&O | How to Resolve INT-AR-009/Error code: 38-996-999—,
KB0025527,How can I change my center pictures on Customer Portal?,L1,Customer Portal (MyRegus),,Unmapped,"How can I change my center pictures on Customer Portal? Application / Service Customer Portal Details If the Center team is requesting to change the center pictures on Customer Portal, or they are stating that the provided pictures are wrong on Myregus/ myspacesworks, please advise them that - the center room type pictures are generalized commonly for all the centers. These pictures cannot be changed, as they are predefined for all type of bookings in any center. This is working as designed. Additional Information For other type of changes for the center, like description, Location, Center facilities please contact - OPS Help - How can I change my centre details in the Teams > IWG > Centres, MyRegus, websites, SalesHub, and all systems? | ServiceNow (service-now.com)",
KB0025380,End Date for Virtual Office bookings not being shown correctly.,L1,Customer Portal (MyRegus),,Unmapped,"End Date for Virtual Office bookings not being shown correctly. If a user is having issues with End Date not being shown correctly on Customer Portal for Virtual Office bookings. If the booking is VIRTUAL OFFICE type of booking this is as designed. For Virtual Office bookings, CP will show ""Renews on [date] ""even if the booking is terminated. Yellow background around the agreement in CP shows that booking is terminated. Booking from screenshot above is terminated:",
KB0027051,Common Issues in Employee Data Integration for Dynamics F&O Worker Records.,L2,Dynamics F&O,,Unmapped,"Common Issues in Employee Data Integration for Dynamics F&O Worker Records. Application / Service Power Automate Issue Symptoms / Error Introduction Using Power Automate, a cloud-based workflow retrieves all employee adds, moves, and changes from Proton/Service Bus to create or update worker records in Dynamics F&O. This ensures employee records are accurate and up-to-date, enabling seamless use in Purchase Orders, Invoice Approval workflows, and upcoming expense processes. The primary workflow is named 'H2R|Main|Manually' and is located in the 'H2R Sync PRD' environment. Issue Symptoms / Error Errors may occur in the integration process for an employee's information. This document provides guidance on identifying potential issues and steps to resolve them. Resolution To investigate an error in the integration process, access the 'H2R|Main|Manually' workflow and review its execution log. Follow these steps: Open the workflow in the H2R Sync PRD environment. Navigate to the 'All runs' section by selecting the corresponding button, as illustrated in the screenshot below. This will provide access to the detailed execution logs for troubleshooting. To isolate failed executions for trou",
KB0020219,Account not visible in MyRegus,L1,Titan,,Unmapped,"Account not visible in MyRegus Application / Service Titan Description Account not visible in MyRegus Instructions Please follow the steps given below to check the status of the OSA when the account is not visible in Myregus/Titan 1. Open OSA URL 2. Scroll down 3. At the bottom right you should see a message indicated “ Signed on [DATE ]” a. If it is NOT Signed , please ask the staff to reach out to the customer to sign the OSA. b. If Signed, Go to Titan UI 4. Admin > Replay OSA > enter Pivotal reference to the left of the screen and hit GO 5. Click on View to see the failure message a. To resolve this incident, 3 options are available: b. Click on the ‘ Replay’ button, if this still fails, please proceed with one of the following options: 1. Send a new OSA to the customer to resubmit. This should be done by the staff who raised the SNOW ticket. Or 2. L1 should approach GSC Team (GSC.TitanSupport&#64;regus.com) to load the booking manually. Note : If you have to go very often to GSC Team for loading bookings, please raise a MST ticket and contact OSA development team.",
KB0029264,AHD Team Guide: Account Termination (Ending an Agreement),Customer Support,Payments,,Unmapped,"AHD Team Guide: Account Termination (Ending an Agreement) Summary Guides AHD in supporting customers who want to end their agreement after Aurora. Purpose Ensures AHD follows the correct process for agreement termination queries after Aurora and Help submission have been completed, while maintaining compliance with customer self-service requirements. Self-Help First (Customer Requirement) Confirm the customer has already: Used Aurora Chat Assist Submitted a case via the Help section Customers must complete termination via the Customer Portal: Go to Account > Products and Services > Workspaces and Services Select the agreement Click ""End Agreement"" AHD Ticket Handling: If the ticket requires assistance from the GSC team, assign it to GSC Care within CRM for further investigation. Required Details Customer email & company name Agreement details (product / location if available) Requested termination date Screenshot or issue description (if unable to terminate) What You Can Request Assistance with ending an agreement Issues accessing the ""End Agreement"" option Questions about notice period or termination timing Guidance on retainer return process Key Information to Share with Customer",
KB0037197,How do I request payment allocation for a customer via email or Customer Portal (MyRegus),Customer Support,Payments,,Unmapped,"How do I request payment allocation for a customer via email or Customer Portal (MyRegus) Summary: This article guides users regarding payment allocation and queries on remittance advice with an available proof of payment. Purpose: This article provides the correct path on how to request payment allocation along with proof of payment, CC slip and Collection Report. Instructions: Centre Team to send email to respective mailbox, attaching the Collection report, cc slip or a valid proof of payment such as a receipt or document from the bank supporting the completion of the payment. Cheque.Remittance@regus.com CC.Remittance@regus.com US.Wires@regus.com emea.menordics@regus.com UK.AccountsReceivable@regus.com 2. Via Customer Portal request can be logged via Myregus>Billing and Payments>Upload Financial Documentation. To ensure that valid proof of payment such as a receipt or document from the bank supporting the completion of the payment. 3. Follow steps under https://iwg.learn.link/content/5f9048a6ad634100100c9e72 on how to escalate the task to GSC Support team.",
KB0020215,Service Suspension Email,L1,Titan,,Unmapped,"Service Suspension Email Application / Service Titan Description Service Suspension Email Instructions If customer receives an email with the following format, Please contact Graham.thompson . These emails are sent by external services, debt collector agency.",
KB0010780,Error when generating titan report,L1,Titan,,Unmapped,"Error when generating titan report Application / Service Titan Details Error when generating report in Titan: ""Adobe Reader could not because it is either not a supported file type or because the file has been damaged"" Steps to Fix: 1. On your Google Chrome browser, go to "" Settings "" 2. On the left side menu, click on "" Advanced "" then click on "" Downloads "" 3. Turn on "" Ask where to save each file before downloading "" If you see "" Open certain file types automatically after downloading "", press the "" Clear "" button Note: You can also set your OneDrive to be the default st orage location for downloaded files.",
KB0033026,How to logout and login to Team Hub?,End User,Process Enquiry,,Unmapped,"How to logout and login to Team Hub? Instructions To Log out: 1. Open your TeamHub application. On the lower-left portion of the screen, click to Log Out. 2. Click Yes to confirm. To Log in: 1. Open Team Hub. 2. Sign in with your IWG credentials when prompted. 3. Choose personal device as device type",
KB0027211,Titan | Invoice currency conversion on invoice details pdf  calculated incorrectly,L1,Titan,,Unmapped,"Titan | Invoice currency conversion on invoice details pdf calculated incorrectly Application / Service Titan Issue Symptoms / Error Client claims incorrect calculation is seen on Invoice PDF copy Resolution According to BS-2201: Invoice Amount Round Off - Dual Currency Countries The calculation of exchange rate is applied on unit amount, then it gets rounded, and then multiplied by quantity. Unit Amount =$0.16 per print they ordered Quantity = 6 prints Exchange rate => 1 $ = 39.9205 грн First Apply Exchange Rate on unit Amount = $ 0.16 * 39.9205 = грн 6.387280 The do the rounding = Round (грн 6.387280 , 2) = грн 6.39 Now multiply with the Quantity = грн 6.39 * 6 = грн 38.34 Additional Information Reference tickets: MST (JIRA): MST-60696",
KB0020205,Customer Account Not Showing in Customer Portal,L1,Customer Portal (MyRegus),,Unmapped,"Customer Account Not Showing in Customer Portal Application / Service Customer Portal & Titan Description Please follow the below steps to do a mock update on the client's account so that it can be visible in Customer Portal. Instructions Open Titan then click on Client Search Search for the user using the contact ref / If none get the company ref and name of the user Click search contact or search company after that click Edit Company On Company Details, update the address field, just put anything like add number 1 After that click on Correct Click on Edit Company again and then remove the changes that you did Click Correct after that. Click on List Contacts and open one of the contacts On Contact Details, update the address field, just put anything like add number 1 After that click on Correct Click on Edit Details again and then remove the changes that you did Click Correct after that. Repeat steps 8-12 for all contacts within the company Check Myregus or New Myregus then look if its now ok. If the issue is still the same proceed to step 15 Report the issue to Dev Team Note: Beside mock update, we should check whether the company is registered on Customer Portal.",
KB0020639,Restrict Services,L1,Team Hub,,Unmapped,"Restrict Services Application / Service TeamHub Details Users might get the following error when clicking on ""Restrict Service"" button When Restrict services option is NOT available for the following countries: Country CountryName 605 Argentina 606 Australia 607 Austria 609 Belgium 611 Canada 612 Chile 613 China 615 Cyprus 616 Czech Republic 617 Denmark 618 Egypt 619 Finland 620 France 621 Germany 622 Greece 623 Guatemala 624 Hungary 625 India 626 Israel 627 Italy 628 Japan 629 Luxembourg 630 Malaysia 632 Morocco 633 Netherlands 634 Norway 635 Panama 636 Peru 637 Philippines 638 Poland 639 Portugal 640 Republic of Ireland 641 Romania 642 Russia 643 Saudi Arabia 644 Singapore 645 Slovakia 646 South Africa 647 South Korea 648 Spain 649 Sweden 650 Switzerland 651 Thailand 652 Tunisia 653 Turkey 655 United Arab Emirates 656 United Kingdom 657 United States of America 658 Vietnam 662 Bangladesh 663 Bulgaria 664 Bahrain 672 Brunei 675 Botswana 678 C&ocirc;te d'Ivoire 686 Costa Rica 689 Cayman Islands 690 Djibouti 692 Dominican Republic 693 Algeria 694 Ecuador 697 Estonia 704 Georgia 705 Ghana 706 Gibraltar 716 Guyana 717 Hong Kong 719 Honduras 720 Croatia 722 Indonesia 726 Iraq 729 Jorda",
KB0010905,Satellite CDR were tagged for HUB (Problem #1316),L1,Team Hub,,Unmapped,"Satellite CDR were tagged for HUB (Problem #1316) Application / Service TeamHub Details Scenario: Satellite Centre reported that they are not getting any reports from Datapulse. Instead, you see the data coming up in the HUB centre. Symptoms: &middot; Centre is a Satellite &middot; CDR is showing on the Hub Centre Incident/Ticket can now be raised to Voice Services for further resolution. Details of the Workaround are provided here.",
KB0037167,How do I update VAT exemption set up for a customer,Customer Support,Payments,,Unmapped,How do I update VAT exemption set up for a customer Summary : This article guides users on how to raise a request to exempt customer account from VAT Tax with certification and subject to the Tax advisor's approval. This also includes how centre team can request a removal of the customers tax exemption. Purpose : The purpose of this article is to guide users to the correct path to open a ticket to request VAT exemption or removal of VAT exemption for a customer. Instructions : Go to TeamHub > Company > Log a task > Set up tax exemptions Follow steps under https://iwg.learn.link/content/5f9048a6ad634100100c9e72 on how to escalate the task to GSC Support team.,
KB0027072,TITAN |  Priority Internet Service Billing,L1,Titan,,Unmapped,"TITAN | Priority Internet Service Billing Application / Service TITAN - Priority Internet Service Details Priority Internet is an IT service that we offer to our customers as an auto opt-in service. Whenever a customer gets a long-term booking or a coworking, if Priority Internet is marked as mandatory in that country catalogue and the centres has the service available and it is marked as ""auto opt-in"", the service will get automatically added into the customer's account. How can we know if Priority Internet is mandatory in a country catalogue? Titan > Admin > Service Pricing > Service Catalogue: look for the ""Service catalogue"" > Service Category: IT Services > Service Name: Priority Internet (service ID 9239). Long Term Office and Workstation are enabled in the Mandatory Recurring Services section. Notes: In some countries, Workstation is not enabled. This depends on Business logic and it's Titan admins who maintain it The date indicates when the service was made mandatory for that country catalogue Priority Internet is billed in arrears as all mandatory services. This means that ""Override Advance Bill Quantity"" needs to be set as 0 If the service is not marked as mandatory in th",
KB0029023,How to Resolve INT-AR-002/Error code: 1-7-,L2,Dynamics F&O,,Unmapped,How to Resolve INT-AR-002/Error code: 1-7-,
KB0029053,How to Resolve INT-AR-002/Error code: 8-,L2,Dynamics F&O,,Unmapped,How to Resolve INT-AR-002/Error code: 8-,
KB0029040,Dynamics F&O | How to Resolve INT-AR-003/Error code: 12-0-.,L2,Dynamics F&O,,Unmapped,Dynamics F&O | How to Resolve INT-AR-003/Error code: 12-0-.,
KB0026617,Titan | Booking issue | Confirmed shortstay/DO booking was cancelled by the system,L1,Titan,,Unmapped,"Titan | Booking issue | Confirmed shortstay/DO booking was cancelled by the system Application / Service TITAN Details Description: Confirmed short-stay/DO booking was cancelled by the system ISSUE: Whenever a booking is created, a confirmation mail is sent to the client, but on the day of the booking it is not visible in TeamHub. EXPLANATION: This happens when an account is suspended after the booking was created, system cancels the short-stay or day office booking. For long term booking, the services are marked as restricted. This is as designed. Illustration of the case Kindly refer to the below attached screenshot. The booking ref: 150709313 was created on 13th Sep 2024 and the company from which the booking was created got suspended on 16th September 2024. As the company was suspended, the short-stay booking will be automatically cancelled by the system. (As Designed) And for Long term Office the booking will be set under restricted. Additional Information",
KB0021239,How to view the History Records of the Membership customer Check in/out,L1,Team Hub,[Bookings (Products) - Short Stay] Unable to check in/out on TeamHub,Medium,"How to view the History Records of the Membership customer Check in/out The customer Check in/out history record can be retrieved from Titan System. https://iwg.learn.link/content/5f9048c1ee985a00106a3b00 Note: Where can I check membership details in My Regus / My Spacesworks to determine what benefits they are entitled? ► Search for the customer via Staff Mode on My Regus / My Spacesworks > Account > Products and services > Membership. You should also check the 'Customer Care Notes' section in MyRegus / MySpacesworks whilst in staff mode as certain Members (e.g. Enterprise Plan customers) may have specific processing and invoicing actions. How will you know when to charge for a visit, if say a 5 Day Platinum user exceeds his subscribed benefit? ► All customer visits are tracked automatically and will advise the member if they have exceeded their free day allowance at the point of reservation and will make a booking with a discounted daily rate for their stay at your centre. This charge should then show on the reservation and should be collected from the customer on check out.",
KB0037153,"How do I request help concerning Statement of Account (SoA), Balance Mismatch Issues in Customer Portal, Invoice Payment Status and Credit Notes Missing in Customer Portal",Customer Support,Statement of Account,[SOA] Balance Mismatch,Medium,"How do I request help concerning Statement of Account (SoA), Balance Mismatch Issues in Customer Portal, Invoice Payment Status and Credit Notes Missing in Customer Portal Summary : This article guides centre teams through the steps on how to address issues concerning statement of account (SoA), balance mismatch issues in Customer Portal, invoice payment status and credit notes missing in Customer Portal. Purpose : The purpose of this article is to guide centre teams on the correct approach for concerns related to statement of account (SoA), balance mismatch issues in Customer Portal, invoice payment status and credit notes missing in Customer Portal. Self-Help Before submitting a request: Consult your centre team to confirm whether the issue has already been raised. Please do not raise duplicate tickets for the same issue. How to Raise a Ticket Community/Centre Team or Account Helpdesk Users : Please advise the customer to raise a ticket on the Online Help If escalation is needed: Follow the guidance from the Escalation Process link If GSC AR advises an IT case, they will raise it on your behalf. For GSC Support Team Members (when IT support is required): 1. Gather all relevant da",
